Matricula,Razon_Soc,Direccion,Localidad,Partido_Depto,PROVINCIA,CodPost,EMail,Telefono,CUIT,FechaInsc,Actividad
24266,"COOP DE VIVIENDA, CREDITO Y CONSUMO ESPERANZA DE LA MUJER LTDA",AV. PATRICIOS N° 1434 piso PB Of/Dto/Loc:2,C. Autonoma de Bs As,,CAPITAL FEDERAL,C0,,,,10/03/2003,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
24267,"COOP DE VIVIENDA, CREDITO Y CONSUMO CO.VI.AR. LTDA",ESTADOS UNIDOS N° 692 piso PB,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1101,coviarltda2002@hotmail.com,4304-9448/5962,,10/03/2003,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
24268,COOP DE TRABAJO CHANAE S LTDA,NOGUES N° 180,VILLA GOBERNADOR GALVEZ,ROSARIO,SANTA FE,S0,,,,10/03/2003,TRABAJO
24269,COOP APICOLA CHACO LTDA,LOTE Nº 116 - CAMPO BERMEJO,GENERAL JOSE DE SAN MARTIN,LIBERTADOR GRAL SAN MARTIN(CHA,CHACO,H0,,,,10/03/2003,DE PROVISION
24270,"COOP DE PROVISION DE SERVICIOS ENERGETICOS ""LA UNION LTDA"" Y OTROS SERVICIOS PUBLICOS C.E.L.U.L.",AZCUENAGA N° 257,PRESIDENCIA ROQUE SAENZ PEÑA,COMANDANTE FERNANDEZ,CHACO,H3700,calul@arnet.com.ar,421368/420061,30-70840171-0,07/03/2003,DE PROVISION
24271,COOP DE TRABAJO CRISTAL LTDA,BENITO LINCH N° 3868,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,B0,,,,11/03/2003,TRABAJO
24272,COOP DE TRABAJO PRODUCOOP LTDA,MOSCONI N° 56,GENERAL ARENALES,GENERAL ARENALES,BUENOS AIRES,B0,,,,11/03/2003,TRABAJO
24274,"COOP AGROPECUARIA ""LA PRODUCTORA"" LTDA",ROBLE N° 735 B° LINDO,BURZACO,ALMIRANTE BROWN (BA),BUENOS AIRES,B1852LQC,,,,11/03/2003,AGROPECUARIA
24275,"COOP DE TRABAJO DE RECOLECTORES DE RESIDUOS ""CORBYL"" LTDA",DIEGO ROSALES Y SAENZ PEÑA,SAN C. DE BARILOCHE,BARILOCHE,RIO NEGRO,R0,,,,11/03/2003,TRABAJO
24276,"INICIATIVAS CASTELLI ""INCAS"" COOP DE TRABAJO LTDA",AV. SARMIENTO N° 1268,RESISTENCIA,SAN FERNANDO (CHA),CHACO,H0,,,,11/03/2003,TRABAJO
24277,COOP DE TRABAJO EDU.CO LTDA,LADINES N° 2552,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1419,,4571-3443,,11/03/2003,TRABAJO
24278,COOP DE TRABAJO LA UNION LTDA,CERRITO N° 536 piso 13°,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1010,,4379-1759,,11/03/2003,TRABAJO
24279,"COOP DE TRABAJO ""EL PERILAGO"" LTDA",PERON S/N,PERICO DEL CARMEN,EL CARMEN,JUJUY,Y4603,,,,11/03/2003,TRABAJO
24280,COOP DE TRABAJO MUEBLES SAN JOSE LTDA,CALLE 33 N° 2960,SAN ANDRES,GENERAL SAN MARTIN (BA),BUENOS AIRES,B0,,4755-2491/2376,,11/03/2003,TRABAJO
24281,COOP DE PROVISION Y CONSUMO PARA PROFESIONALES DE SALUD Y AFINES EL LITORAL LTDA (PRO.S.E.L.),Bº MALVINAS CASA K 20,POSADAS,CAPITAL (MI),MISIONES,N0,,,,11/03/2003,DE PROVISION - CONSUMO
24282,MULTISERVICIO PORTUARIO COOP DE TRABAJO LTDA,HERGO N° 2320,SANTA FE,LA CAPITAL (SF),SANTA FE,S0,,,,12/03/2003,TRABAJO
24283,COOP DE TRABAJO ALIMENTICIA MUJERES DE AMAS LTDA,ESPAÑA N° 197,VENADO TUERTO,GENERAL LOPEZ,SANTA FE,S0,,,,12/03/2003,TRABAJO
24284,COOP DE TRABAJO NUBACOOP LTDA,RICHIERI N° 3935,ROSARIO,ROSARIO,SANTA FE,S0,,,,12/03/2003,TRABAJO
24285,CUNICULTORES DEL SUR DE SANTA FE COOP LTDA,CHACABUCO N° 1274,ROSARIO,ROSARIO,SANTA FE,S0,,03462-420392,,12/03/2003,DE PROVISION
24286,COOP DE TRABAJO DE DISCAPACITADOS DE TUCUMAN LTDA,PJE. IRIGOYEN N° 1046,SAN MIGUEL DE TUCUMAN,CAPITAL (TUC),TUCUMAN,T0,,,,12/03/2003,TRABAJO
24287,"COOP APICOLA, AGROPECUARIA, GRANJERA, AVICOLA Y FORESTAL ""SAN IGNACIO"" LTDA",LOC. SAN IGNACIO B° Loc SAN IGNACIO (NO CPA EN PELLEGRINI),SAN ISIDRO (PELLEG),PELLEGRINI (SG),SANTIAGO DEL ESTERO,G0,,,,12/03/2003,AGROPECUARIA
24288,COOP DE TRABAJO DE EDUCACION DOCENTES LORETANOS LTDA,BELGRANO N° 182 B° CENTRO,LORETO (SG),LORETO,SANTIAGO DEL ESTERO,G0,,,,12/03/2003,TRABAJO
24289,"COOP DE TRANSFORMACION, COMERCIALIZACION Y PROVISION DE BIENES Y SERVICIOS ""LA NUEVA ARGENTINA"" LTDA",GARIBALDI N° 916,SAN NICOLAS DE LOS ARROYOS,SAN NICOLAS,BUENOS AIRES,B0,,,,12/03/2003,DE PROVISION
24290,COOP DE TRABAJO C.O.P.E.L. LTDA,PEATONAL N° 11 CASA 44 B° LIBERTADOR II,SAN FDO DEL VALLE DE CATAMARCA,CAPITAL (CAT),CATAMARCA,K0,,,,12/03/2003,TRABAJO
24291,"COOP DE VIVIENDA, CREDITO Y CONSUMO PROYECTO SOL NACIENTE LTDA",ALSINA N° 1569 piso 6° Of/Dto/Loc:9,C. Autonoma de Bs As,,CAPITAL FEDERAL,C0,,,,12/03/2003,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
24292,COOP ENTRERRIANA DE APICULTORES LTDA,MISAEL J. PARODI  S/N,ROSARIO DEL TALA,TALA,ENTRE RIOS,E0,,,,12/03/2003,DE PROVISION
24293,"TRAVICOP, COOP DE VIVIENDA, CREDITO Y CONSUMO LTDA",BROWN N° 127,PUNTA ALTA,CORONEL ROSALES,BUENOS AIRES,B0,,,,12/03/2003,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
24294,"COOP RURAL AGRICOLA ""C.R.AGRICOLA"" LTDA",AVDA. SAN MARTIN N° 885,COMANDANTE NICANOR OTAMENDI,GENERAL ALVARADO,BUENOS AIRES,B7603,,(02291) 480938,30-70815588-4,12/03/2003,AGROPECUARIA
24295,COOP DE CREDITO CREDIDAR LTDA,BARTOLOME MITRE N° 4222,C. Autonoma de Bs As,,CAPITAL FEDERAL,C0,,,,12/03/2003,CREDITO
24296,COOP DE TRABAJO EL TIBURON LTDA,BERMEJO N° 763,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,B0,,,,12/03/2003,TRABAJO
24297,"COOP DE TRABAJO DE SERVICIOS GENERALES ""R.P.C."" LTDA",CECILIA GRIERSON N° 834,RIO GALLEGOS,GUER AIKE,SANTA CRUZ,Z9402CFL,,,,12/03/2003,TRABAJO
24298,"COOP DE TRABAJO DE SERVICIOS GENERALES ""PROGRE-SUR"" LTDA",TUCUMAN N° 275,RIO GALLEGOS,GUER AIKE,SANTA CRUZ,Z0,,,,13/03/2003,TRABAJO
24299,"COOP DE TRABAJO DE SERVICIOS GENERALES ""SERVI-CONST"" LTDA",COMODORO RIVADAVIA N° 35,RIO GALLEGOS,GUER AIKE,SANTA CRUZ,Z0,,,,13/03/2003,TRABAJO
24300,"COOP DE TRABAJO DE SERVICIOS GENERALES ""ALBORADA"" LTDA",CEPEDA N° 1372,RIO GALLEGOS,GUER AIKE,SANTA CRUZ,Z0,,,,13/03/2003,TRABAJO
24301,"COOP DE TRABAJO TEXTIL DE PUERTO SANTA CRUZ ""TEXTIL DISEÑOS"" LTDA",ALFERES BALESTRA N° 365,PUERTO SANTA CRUZ,CORPEN AIKE,SANTA CRUZ,Z0,,,,13/03/2003,TRABAJO
24302,"COOP APICOLA, AGROPECUARIA, GRANJERA, AVICOLA Y FORESTAL ""SALINAS DE GUANACO SOMBRIANA"" LTDA",GUANACO SOMBRIANA,GUANACO SOMBRIANA,ATAMISQUI,SANTIAGO DEL ESTERO,G0,,,,13/03/2003,AGROPECUARIA
24303,"COOP APICOLA, AGROPECUARIA, GRANJERA Y AVICOLA ""EL MANA"" LTDA",EST. SIMBOLAR,LA BANDA,BANDA,SANTIAGO DEL ESTERO,G0,,,,13/03/2003,AGROPECUARIA
24304,"COOP AGROPECUARIA ""CODYCON"" LTDA",GENERAL PAZ N° 19,RIO TERCERO,TERCERO ARRIBA,CORDOBA,X0,,,,13/03/2003,AGROPECUARIA
24305,"COOP DE VIVIENDA, CREDITO Y CONSUMO VALENTIN CORIA LTDA",RIVADAVIA N° 118,CHIVILCOY,CHIVILCOY,BUENOS AIRES,B6620,coopvalencoria@yahoo.com.ar,(02346) 42-8948/49/50,,13/03/2003,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
24306,"COOP DE VIVIENDA, CREDITO Y CONSUMO ""LUZ Y PROGRESO"" LTDA",GASCON N° 123 piso 6° Of/Dto/Loc:1,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1181,,,30-70836071-2,13/03/2003,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
24307,"""INTELFIN COOP DE CREDITO, VIVIENDA Y CONSUMO LTDA""",SARMIENTO N° 212 piso 2° Of/Dto/Loc:B.1,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1041,,,,13/03/2003,CREDITO
24308,"COOP DE TRABAJO CENTRO DE INVESTIGACION, PERIODISMO Y EDUCACION LTDA",MONTEVIDEO N° 708 piso 2° Of/Dto/Loc:6,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1019,,,,13/03/2003,TRABAJO
24309,COOP DE CREDITO B & B LTDA,FLORIDA-GALERIA GÜEMES N° 159 piso 2º Of/Dto/Loc:207/9,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1005AAC,,,,13/03/2003,CREDITO
24310,COOP DE TRABAJO MEDICO UNIDAD MEDICA APOSTOLES LTDA,BELGRANO N° 1552,APOSTOLES,APOSTOLES,MISIONES,N0,,03758-422003,,13/03/2003,TRABAJO
24311,COOP AGROPECUARIA COOPAGRO LTDA,BAHIA BLANCA N° 3184,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1407,,,,13/03/2003,AGROPECUARIA
24312,"COOP DE TRABAJADORES DE PANADERIAS, CONFITERIAS, GALLETITERIAS Y AFINES LTDA",MORENO N° 2867 piso PB,C. Autonoma de Bs As,,CAPITAL FEDERAL,C0,,,,13/03/2003,TRABAJO
24313,"COOP DE VIVIENDA Y URBANIZACION, SERVICIOS PUBLICOS Y CONSUMO ""XAUEN"" LTDA",AV DORREGO S/N B°,LAVALLE VILLA TULUMAYA,LAVALLE (MZ),MENDOZA,M5664,,,,13/03/2003,VIVIENDA Y CONSTRUCCION - CONSUMO
24314,COOP DE TRABAJO 25 DE OCTUBRE LTDA,MARTINEZ CASTRO N° 1141,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1407,,4672-1698,,13/03/2003,TRABAJO
24315,"COOP GIUDICE DE VIVIENDA, CREDITO Y CONSUMO LTDA",DIAGONAL 73 N° 3221 piso 1/2,LA PLATA,LA PLATA,BUENOS AIRES,B0,,,,13/03/2003,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
24316,COOP DE TRABAJO ECOLOGICA DE RECICLADORES DE BAJO FLORES LTDA,AVDA. VARELA N° 2505 piso 2º Of/Dto/Loc:N,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1437,,154889-8973,,13/03/2003,TRABAJO
24317,"COOP DE VIVIENDA, CREDITO Y CONSUMO LA UNION Y ESPERANZA LTDA",MEXICO N° 3996,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1223,,,,13/03/2003,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
24318,COOP DE TRABAJO SAN MARTIN LTDA,PASAJE LUIS PIEDRA BUENA N° 1950 B° SAN MARTIN,CALETA OLIVIA,DESEADO,SANTA CRUZ,Z0,,,,13/03/2003,TRABAJO
24319,"COOP DE CREDITO, CONSUMO Y VIVIENDA ATLANTIS LTDA",LAVALLE N° 472 piso 1º Of/Dto/Loc:105,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1047,,,,13/03/2003,CREDITO
24320,"SOLFIN COOP DE CREDITO, CONSUMO Y VIVIENDA LTDA",LAVALLE N° 547 piso 4° Of/Dto/Loc:A,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1047,,,,13/03/2003,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
24321,COOP DE PROVISION PARA TRANSPORTISTAS BUEN GAS LTDA,ANTARTIDA ARGENTINA N° 769,LA FALDA,PUNILLA,CORDOBA,X0,,03548-421566,,13/03/2003,DE PROVISION
24322,COOP DE TRABAJO EL COYOTE LTDA,RONDEAU N° 1113,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,B0,,,,13/03/2003,TRABAJO
24323,"COOP DE TRABAJO ""ARTE COOPERATIVO"" LTDA",ACCESO NORTE N° 744,SAN FERNANDO,SAN FERNANDO (BA),BUENOS AIRES,B0,artecooperativo2003@hotmail.com,4746-1138,30-70821232-2,13/03/2003,TRABAJO
24324,"COOP DE VIVIENDA, AUTOCONSTRUCCION Y CONSUMO ""EL CIELO"" LTDA",PJE. 6 CASA 31,VILLA CELINA (CDAD MADERO),LA MATANZA,BUENOS AIRES,B0,,,,13/03/2003,VIVIENDA Y CONSTRUCCION - CONSUMO
24325,"COOP DE PROVISION DE SERVICIOS PARA RECOLECTORES ""RECICLADO DEL SUR"" LTDA",BOUCHARD N° 2817,LANUS,LANUS,BUENOS AIRES,B0,,,,13/03/2003,DE PROVISION
24326,COOP DE TRABAJO FUL LTDA,CORRIENTES N° 2724 Of/Dto/Loc:1,SANTA FE,LA CAPITAL (SF),SANTA FE,S0,,,,13/03/2003,TRABAJO
24327,COOP DE TRABAJO ALEJANDRO KORN LTDA,ALEJANDRO KORN N° 1064,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,B0,,,,14/03/2003,TRABAJO
24328,COOP DE TRABAJO GASEOSAS PERGAMINO LTDA,MEJICO N° 1312,PERGAMINO,PERGAMINO,BUENOS AIRES,B0,,,,14/03/2003,TRABAJO
24329,COOP DE TRABAJO MANA (CO.TRA.MA.) LTDA,CANGALLO N° 3934,SARANDI,AVELLANEDA (BA),BUENOS AIRES,B0,,,,14/03/2003,TRABAJO
24330,"COOP DE PROVISION DE SERVICIOS PARA TRANSPORTISTAS ""PROGRESO LIMACHE CO.PRO.LIM."" LTDA",BLOCK 31 Of/Dto/Loc:7 B° LIMACHE,SALTA,CAPITAL (STA),SALTA,A0,,,,14/03/2003,DE PROVISION
24331,COOP DE CREDITO SUDAMERICANA LTDA,FLORIDA N° 440 piso 1º,C. Autonoma de Bs As,,CAPITAL FEDERAL,C0,,,,14/03/2003,CREDITO
24332,COOP DE CREDITO FINACER LTDA,RECONQUISTA N° 737 piso 3°,C. Autonoma de Bs As,,CAPITAL FEDERAL,C0,,,,14/03/2003,CREDITO
24333,COOP DE TRABAJO BOXER LTDA,NAZARET N° 3753 B° URCA,CORDOBA,CAPITAL (CBA),CORDOBA,X0,,,,14/03/2003,TRABAJO
24334,"COOP DE VIVIENDA, CREDITO Y CONSUMO ""LA BOCA DEL RIACHUELO"" LTDA",PEDRO DE MENDOZA N° 1107,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1156,,,,14/03/2003,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
24335,COOP DE PROVISION DE SERVICIOS PRESTADORES DE LA SALUD (CO.PRE.SA.) LTDA,DALMACIO VELEZ SARFIELD N° 1081,LA RIOJA,CAPITAL (LR),LA RIOJA,F0,,,,14/03/2003,DE PROVISION
24336,COOP DE TRABAJO VIENTOS PATAGONICOS LTDA,LAS VIOLETAS N° 1863,CALETA OLIVIA,DESEADO,SANTA CRUZ,Z0,,,,14/03/2003,TRABAJO
24337,COOP DE TRABAJO CABAÑAS DEL BOSQUE LTDA,PAULA ALBARRACIN N° 575,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,B0,,,,14/03/2003,TRABAJO
24338,"COOP DE TRABAJO ""LA VILLA"" LTDA",AV. EMILIO OLMOS N° 185 piso 8° Of/Dto/Loc:E,VILLA GENERAL BELGRANO,CALAMUCHITA,CORDOBA,X0,,,,14/03/2003,TRABAJO
24339,"COOP DE TRABAJO DE RECOLECCION Y RECICLADO ""EL ENCUENTRO"" LTDA",B° HIDRICO CASA 47 B° HIDRICO,BARADERO,BARADERO,BUENOS AIRES,B0,,,,14/03/2003,TRABAJO
24340,COOP DE TRABAJO TURPEZ LTDA,ACHA N° 2758,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,B0,,,,12/03/2003,TRABAJO
24341,COOP DE TRABAJO PAGO DE LAS HERMANAS LTDA,RIVADAVIA N° 69,RAMALLO,RAMALLO,BUENOS AIRES,B0,,,,14/03/2003,TRABAJO
24342,"COOP DE TRABAJO, MONTAJES, SERVICIOS Y MANTENIMIENTO ""M.S.M."" LTDA",CALLE 638 (E/ RUTA11 Y DIAG.13,LA PLATA,LA PLATA,BUENOS AIRES,B0,,,,14/03/2003,TRABAJO
24343,COOP DE TRABAJO SAUCECOOP LTDA,ARANA Y GOYRI N° 3130,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,B0,,,,14/03/2003,TRABAJO
24344,COOP DE CREDITO BON CREDITO LTDA,FLORIDA N° 253 piso 7° Of/Dto/Loc:L,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1349,,4326-2022,,17/03/2003,CREDITO
24345,"""CREDISIS"" COOP DE CREDITO, VIVIENDA Y CONSUMO LTDA",SARMIENTO N° 530 piso 6º,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1054,,,,17/03/2003,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
24346,"COOP DE TRABAJO ""EL RESCATE"" LTDA",AYOLAS N° 3864,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,B0,,,30-70815166-8,18/03/2003,TRABAJO
24347,"COOP DE TRABAJO ""METALURGICOS LANUS"" LTDA",CORONEL BUERAS N° 2720,LANUS,LANUS,BUENOS AIRES,B0,,4234-1289,,18/03/2003,TRABAJO
24348,COOP DE TRABAJO CONLARA LTDA,JUNIN CASA N° 3 B° EVA PERON,CONCARAN,CHACABUCO (SL),SAN LUIS,D0,,,,18/03/2003,TRABAJO
24349,"COOP ""INTRODUCTORES DE LOS ARROYOS"" LTDA DE PROVISION DE SERVICIOS PARA PRODUCTORES FRUTIHORTICOLAS",PTE. PERON N° 1502,SAN NICOLAS DE LOS ARROYOS,SAN NICOLAS,BUENOS AIRES,B0,,,,18/03/2003,DE PROVISION
24350,"REGAL COOP DE CREDITO, CONSUMO Y VIVIENDA LTDA",AVDA.ROQUE SAENZ PEÑA N° 740 piso 2º,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1035AAB,,,30-70860828-5,18/03/2003,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
24351,"TBD COOP DE CREDITO, CONSUMO Y VIVIENDA LTDA",TUCUMÁN N° 695 piso 6 Of/Dto/Loc:B,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1049AAM,,,,18/03/2003,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
24352,COOP DE TRABAJO COOPERPEL ENVASES INDUSTRIALES LTDA,GRAL. JUAN JOSE VALLE N° 2983,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1437JPI,cooperpel@hotmail.com,4918-1777/2799,,18/03/2003,TRABAJO
24353,"COOP GRANJERA DE MICRO EMPRENDIMIENTOS AGROPECUARIOS LTDA ""COOMEA""",SAAVEDRA N° 1321,VENADO TUERTO,GENERAL LOPEZ,SANTA FE,S0,,03462-421692,,18/03/2003,AGROPECUARIA
24354,"COOP DE VIVIENDA, CREDITO Y CONSUMO ""SARTAÑANI"" LTDA",HORACIO CASCO N° 4346,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1439,,,,18/03/2003,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
24355,"LOS PINOS COOP DE CREDITO, CONSUMO, VIVIENDA Y SERVICIOS SOCIALES LTDA",25 DE MAYO N° 158 piso PB Of/Dto/Loc:18,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1002ABD,,,30-70813281-7,18/03/2003,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
24356,COOP DE TRABAJO LA ILUSION LTDA,FRENCH N° 9162,MAR DEL PLATA,GENERAL PUEYRREDON,BUENOS AIRES,B0,,,,18/03/2003,TRABAJO
24357,"ROBLE COOP DE VIVIENDA, CREDITO Y CONSUMO LTDA",ESMERALDA N° 345 piso 10°,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1007,,,,18/03/2003,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
24358,COOP DE TRABAJO 26 DE JUNIO LTDA,B. RIVADAVIA N° 1310,CALETA OLIVIA,DESEADO,SANTA CRUZ,Z0,,,,18/03/2003,TRABAJO
24359,"COOP NAHUEL DE TRABAJO, CONSUMO Y VIVIENDA DE VILLA MARIA LTDA",SAN JUAN N° 1273,VILLA MARIA (C),COLON (CBA),CORDOBA,X0,,,,18/03/2003,TRABAJO - VIVIENDA - CONSUMO
24360,COOP DE PROVISION DE SERVICIOS Y EXPORTACION FABRICANTES UNIDOS FIESTA LTDA,LUIS VIALE N° 3135,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1416DOA,,,,18/03/2003,DE PROVISION
24361,"COOP DE TRABAJO ""WECHE"" LTDA",QUERANDIES N° 705,VILLA REGINA,GENERAL ROCA (RN),RIO NEGRO,R0,,,,18/03/2003,TRABAJO
24362,"COOP DE VIVIENDA, CREDITO Y CONSUMO 9 DE OCTUBRE LTDA",9 DE JULIO N° 718,MENDOZA,CAPITAL (MZ),MENDOZA,M5500,,4255263,,19/03/2003,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
24363,"FNB COOP DE CREDITO, CONSUMO, VIVIENDA Y TURISMO LTDA",25 DE MAYO N° 460 piso 3º,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1002,info@finanrib.com.ar,5217-3306/3307/3308,30-70819168-6,19/03/2003,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
24364,"COOP AGROPECUARIA, TAMBERA Y DE CONSUMO ""DEOLINDA CORREA"" LTDA",OBRERO SANJUANINO (S) N° 1068 B° CAPITAL - VILLA DEL CARRIL,BARRIO RAWSON,RAWSON (SJ),SAN JUAN,J0,,,,19/03/2003,AGROPECUARIA
24365,COOP DE PRODUCTORES DE CEREZAS DE LOS VALLES DE LA CONFLUENCIA LTDA,CARLOS H. RODRIGUEZ N° 139 piso 9° Of/Dto/Loc:B,NEUQUEN,CONFLUENCIA,NEUQUEN,Q0,,,,19/03/2003,DE PROVISION
24366,COOP DE TRABAJO PEHUMAYEN (LUGAR MARAVILLOSO) LTDA,SANTIAGO DEL ESTERO N° 239,PERGAMINO,PERGAMINO,BUENOS AIRES,B0,,,,19/03/2003,TRABAJO
24367,COOP DE TRABAJO TECNOCOOP LTDA,LAMBARE S/N,AVELLANEDA (BA),AVELLANEDA (BA),BUENOS AIRES,B0,,,,19/03/2003,TRABAJO
24368,COOP DE TRABAJO DE EDUCADORES ARGENTINOS (C.E.A.) LTDA,LUIS C. SALVO N° 964,GARIN,ESCOBAR,BUENOS AIRES,B0,,03488-471141,,19/03/2003,TRABAJO
24369,"COOP DE TRABAJO AGROPECUARIO ""PAMPA VERDE"" LTDA",ALVEAR N° 2741,AZUL,AZUL,BUENOS AIRES,B0,,,,19/03/2003,TRABAJO - AGRICOLA
24370,COOP DE TRABAJO EDESEC OBRAS LTDA,ALEM N° 1725,PERGAMINO,PERGAMINO,BUENOS AIRES,B0,,02477-428570,,19/03/2003,TRABAJO
24371,"COOP DE VIVIENDA, CREDITO Y CONSUMO 20 DE DICIEMBRE LTDA",CHACABUCO N° 608,C. Autonoma de Bs As,,CAPITAL FEDERAL,C0,,4307-8599,,19/03/2003,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
24372,COOP DE TRABAJO REGIONAL INTEGRAL SANTA ELENA LTDA,A. MEDINA  S/N B° CAMBA CUA,SANTA ELENA,LA PAZ (ER),ENTRE RIOS,E0,,,,19/03/2003,TRABAJO
24373,COOP DE CREDITO CAPITAL PRODUCTIVO COOP. LTDA,SAN MARTIN N° 390 piso 3°,C. Autonoma de Bs As,,CAPITAL FEDERAL,C0,,,,19/03/2003,CREDITO
24374,COOP DE PROVISION DE SERVICIOS Y COMERCIALIZACION PARA ARTESANOS Y FABRICANTES DE PRODUCTOS AUTOCTONOS REGIONALES ARGENTINOS YECTHAKY LTDA,ARGERICH N° 962,C. Autonoma de Bs As,,CAPITAL FEDERAL,C0,,,,19/03/2003,DE PROVISION
24375,"COOP DE TRABAJO ""SANTISIMA TRINIDAD"" LTDA",TTE. GRAL. J.D.PERON N° 2239,C. Autonoma de Bs As,,CAPITAL FEDERAL,C0,,4951-8901,,19/03/2003,TRABAJO
24376,COOP DE TRABAJO VENADO TUERTO LTDA,SAENZ PEÑA N° 1511,VENADO TUERTO,GENERAL LOPEZ,SANTA FE,S0,,,,19/03/2003,TRABAJO
24377,COOP DE TRABAJO CAICALLEN LTDA,ROCA N° 332,CHOS MALAL,CHOS MALAL,NEUQUEN,Q0,,,,19/03/2003,TRABAJO
24378,"COOP DE TRABAJO ""C.T.V."" LTDA",B° EL POZO  MZ. 18  VIV. 41 B° EL POZO,SANTA FE,LA CAPITAL (SF),SANTA FE,S0,,,,20/03/2003,TRABAJO
24379,"COOP DE VIVIENDA, CREDITO Y CONSUMO SOL DE ORO LTDA",SOLIS N° 693,C. Autonoma de Bs As,,CAPITAL FEDERAL,C0,,,,20/03/2003,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
24380,COOP DE TRABAJO SERVI-COOP LTDA,AV. VALPARAISO N° 5100 B° INAUDI,CORDOBA,CAPITAL (CBA),CORDOBA,X0,,,,20/03/2003,TRABAJO
24381,"COOP DE TRABAJO DE SERVICIOS GENERALES ""LA GLORIA"" LTDA",GOBERNADOR MOYANO N° 102 B° 8 DE JULIO,CALETA OLIVIA,DESEADO,SANTA CRUZ,Z0,,,,20/03/2003,TRABAJO
24382,COOP DE TRABAJO TRANSPORTES AZUL LTDA,SUIPACHA N° 523,CONCEPCION DEL URUGUAY,URUGUAY,ENTRE RIOS,E0,,03447-428303,,20/03/2003,TRABAJO
24383,COOP DE TRABAJO PANADEROS UNIDOS LTDA,RICARDO GUIRALES N° 2018,PARANA,PARANA,ENTRE RIOS,E0,,,,20/03/2003,TRABAJO
24384,"B. A. FINANCE COOP DE CREDITO, CONSUMO Y VIVIENDA LTDA",TTE. GRAL. PERON N° 935 piso 2° Of/Dto/Loc:213,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1038AAS,,,,20/03/2003,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
24385,COOP DE TRABAJO SERVIMAR LTDA,ORTIZ DE OCAMPO N° 2520 piso 5° Of/Dto/Loc:B,C. Autonoma de Bs As,,CAPITAL FEDERAL,C0,,,30-70819631-9,20/03/2003,TRABAJO
